Date	State
1-11-16	CA
1-11-16	AR
1-11-16	PA
1-11-16	NJ
1-11-16	NY
1-11-16	ON
1-11-16	OH
1-11-16	VA
1-11-16	PA
1-11-16	FL
1-11-16	AL
1-11-16	CA
1-11-16	MA
1-11-16	CA
1-11-16	PA
1-11-16	NY
1-11-16	TX
10-31-16	NY
10-31-16	VA
10-31-16	PA
10-31-16	NE
10-31-16	GA
10-31-16	NJ
10-31-16	BC
10-31-16	FL
10-31-16	CO
10-31-16	AZ
10-31-16	SC
10-31-16	NC
10-30-16	FL
10-30-16	CA
10-30-16	GA
10-30-16	FL
10-30-16	FL
10-30-16	NC
10-30-16	TN
10-30-16	ON
10-30-16	TX
10-30-16	FL
10-30-16	WA
10-30-16	AL
10-29-16	GA
10-29-16	MI
10-29-16	CA
10-29-16	OH
10-29-16	GA
10-29-16	LA
10-29-16	CA
10-29-16	WI
10-29-16	AZ
10-29-16	MS
10-29-16	TX
10-28-16	VA
10-28-16	OH
10-28-16	IL
10-28-16	NC
10-28-16	ON
10-28-16	AZ
10-28-16	KY
10-28-16	TX
10-27-16	KS
10-27-16	NE
10-27-16	OK
10-27-16	CA
10-27-16	NJ
10-27-16	KS
10-27-16	OK
10-27-16	AZ
10-27-16	CO
10-27-16	MS
10-27-16	OK
10-27-16	NC
10-27-16	UT
10-26-16	TN
10-26-16	CA
10-26-16	AZ
10-26-16	CA
10-26-16	CA
10-26-16	NY
10-26-16	CO
10-26-16	TX
10-26-16	CA
10-26-16	NC
10-26-16	FL
10-26-16	MT
10-26-16	CT
10-25-16	AK
10-25-16	PA
10-25-16	AZ
10-25-16	AZ
10-25-16	NC
10-25-16	AZ
10-25-16	AZ
10-25-16	AZ
10-25-16	AZ
10-25-16	AZ
10-25-16	AZ
10-25-16	AZ
10-25-16	AZ
10-25-16	TN
10-25-16	GA
10-25-16	WA
10-25-16	NC
10-25-16	PA
10-24-16	FL
10-24-16	CA
10-24-16	LA
10-24-16	MS
10-24-16	VA
10-24-16	IL
10-24-16	IL
10-24-16	WI
10-23-16	FL
10-23-16	CA
10-23-16	KY
10-23-16	FL
10-23-16	NC
10-23-16	NC
10-23-16	MI
10-23-16	MS
10-23-16	FL
10-23-16	MS
10-23-16	MD
10-23-16	HI
10-23-16	FL
10-23-16	MD
10-22-16	PA
10-22-16	MO
10-22-16	NC
10-22-16	WI
10-22-16	OH
10-22-16	MN
10-22-16	TN
10-22-16	GA
10-22-16	TX
10-22-16	CA
10-22-16	FL
10-22-16	WI
10-22-16	KS
10-22-16	PA
10-22-16	NC
10-22-16	TN
10-22-16	TX
10-22-16	CA
10-22-16	MI
10-22-16	WA
10-22-16	OK
10-22-16	FL
10-22-16	WI
10-21-16	AZ
10-21-16	AL
10-21-16	MI
10-21-16	MD
10-21-16	MO
10-21-16	PA
10-21-16	CA
10-21-16	CO
10-21-16	MD
10-21-16	WA
10-21-16	GA
10-21-16	CA
10-21-16	TX
10-21-16	MI
10-21-16	NJ
10-21-16	WA
10-21-16	CA
10-21-16	KS
10-20-16	CO
10-20-16	MI
10-20-16	WI
10-20-16	UT
10-20-16	AR
10-20-16	MN
10-20-16	NC
10-20-16	CO
10-20-16	CA
10-20-16	KY
10-20-16	TX
10-20-16	CA
10-20-16	FL
10-20-16	CO
10-20-16	CA
10-20-16	MI
10-20-16	NC
10-20-16	GA
10-20-16	UT
10-20-16	CT
10-20-16	KY
10-19-16	FL
10-19-16	GA
10-19-16	FL
10-19-16	NC
10-19-16	MA
10-19-16	WY
10-19-16	OH
10-19-16	CA
10-19-16	CO
10-19-16	ID
10-19-16	KY
10-19-16	TN
10-19-16	WA
10-19-16	MI
10-19-16	TN
10-19-16	WA
10-18-16	WA
10-18-16	AZ
10-18-16	MA
10-18-16	PA
10-18-16	IA
10-18-16	VA
10-18-16	CA
10-18-16	TN
10-18-16	WV
10-18-16	CO
10-18-16	IL
10-18-16	WI
10-18-16	NJ
10-18-16	OK
10-18-16	MA
10-18-16	MD
10-18-16	GA
10-17-16	AR
10-17-16	MD
10-17-16	FL
10-17-16	UT
10-17-16	CO
10-17-16	VA
10-17-16	IL
10-17-16	NC
10-17-16	TN
10-17-16	IL
10-17-16	NJ
10-17-16	IL
10-17-16	NC
10-17-16	GA
10-17-16	FL
10-17-16	CA
10-17-16	FL
10-17-16	FL
10-17-16	CO
10-16-16	TX
10-16-16	AZ
10-16-16	RI
10-16-16	SC
10-16-16	TN
10-16-16	KS
10-16-16	AZ
10-16-16	FL
10-16-16	CA
10-15-16	PA
10-15-16	NH
10-15-16	MN
10-15-16	MO
10-15-16	OH
10-15-16	LA
10-15-16	CO
10-15-16	NH
10-15-16	PA
10-15-16	IN
10-15-16	AZ
10-15-16	ID
10-15-16	TX
10-15-16	CO
10-15-16	CA
10-15-16	MI
10-15-16	SC
10-15-16	MS
10-16-15	CT
10-14-16	OH
10-14-16	MO
10-14-16	NY
10-14-16	FL
10-14-16	OR
10-14-16	IN
10-14-16	NY
10-14-16	NY
10-14-16	NY
10-14-16	NC
10-13-16	AZ
10-13-16	NH
10-13-16	PA
10-13-16	TX
10-13-16	NM
10-13-16	WI
10-13-16	MS
10-13-16	ME
10-13-16	TX
10-13-16	MS
10-13-16	UT
10-13-16	ON
12-10-16	GA
12-10-16	GA
12-10-16	TN
12-10-16	CT
12-10-16	SC
12-10-16	AL
12-10-16	LA
11-10-16	MO
11-10-16	KY
11-10-16	NM
11-10-16	MO
11-10-16	NC
11-10-16	GA
11-10-16	TX
11-10-16	CA
11-10-16	CA
11-10-16	NY
11-10-16	WA
11-10-16	OK
11-10-16	WA
11-10-16	NY
11-10-16	CT
10-10-16	MA
10-10-16	OR
10-10-16	PA
10-10-16	PA
10-10-16	CA
10-10-16	NC
10-10-16	MI
10-10-16	MD
10-10-16	AB
10-10-16	TX
10-10-16	TX
10-10-16	WY
9-10-16	CO
9-10-16	PA
9-10-16	BC
9-10-16	BC
9-10-16	BC
9-10-16	CA
9-10-16	IL
9-10-16	CA
9-10-16	NY
9-10-16	MI
9-10-16	GA
9-10-16	FL
9-10-16	FL
9-10-16	FL
9-10-16	TX
9-10-16	MD
8-10-16	CA
8-10-16	IL
8-10-16	OH
8-10-16	KY
8-10-16	AL
8-10-16	AR
8-10-16	OH
8-10-16	OH
8-10-16	MI
8-10-16	TN
8-10-16	NE
8-10-16	OH
8-10-16	OH
8-10-16	IL
8-10-16	CT
8-10-16	MT
8-10-16	LA
8-10-16	IL
8-10-16	OK
8-10-16	GA
8-10-16	AB
8-10-16	AR
8-10-16	WA
8-10-16	AZ
8-10-16	IN
7-10-16	AK
7-10-16	MA
7-10-16	MA
7-10-16	NH
7-10-16	CO
7-10-16	NJ
7-10-16	CA
7-10-16	VT
7-10-16	CA
7-10-16	GA
7-10-16	PA
7-10-16	CA
7-10-16	OH
7-10-16	NM
7-10-16	AL
7-10-16	AR
6-10-16	OH
6-10-16	OK
6-10-16	NJ
6-10-16	MT
6-10-16	CA
6-10-16	PA
6-10-16	PA
6-10-16	GA
6-10-16	ME
6-10-16	CT
6-10-16	WA
6-10-16	ON
6-10-16	NY
5-10-16	ME
5-10-16	MN
5-10-16	NJ
5-10-16	NY
5-10-16	FL
5-10-16	AL
5-10-16	FL
5-10-16	UT
5-10-16	OH
4-10-16	PA
4-10-16	MD
4-10-16	MD
4-10-16	NY
4-10-16	MI
4-10-16	NY
4-10-16	DE
4-10-16	NH
4-10-16	AK
4-10-16	MO
4-10-16	NC
3-10-16	IN
3-10-16	DE
3-10-16	ME
3-10-16	ME
3-10-16	MN
3-10-16	OH
3-10-16	TN
3-10-16	MA
3-10-16	GA
3-10-16	CA
2-10-16	OH
2-10-16	SD
2-10-16	IA
2-10-16	TX
2-10-16	TN
2-10-16	SK
2-10-16	MD
2-10-16	NV
2-10-16	CA
2-10-16	TX
2-10-16	SC
2-10-16	MB
2-10-16	WA
2-10-16	IA
2-10-16	AR
2-10-16	TN
1-10-16	FL
1-10-16	MN
1-10-16	NY
1-10-16	WI
1-10-16	IN
1-10-16	LA
1-10-16	OR
1-10-16	LA
1-10-16	CA
1-10-16	SC
1-10-16	OK
1-10-16	ME
1-10-16	CA
1-10-16	TX
1-10-16	CA
1-10-16	TX
1-10-16	NC
1-10-16	MD
1-10-16	WA
1-10-16	MO
1-10-16	MI
1-10-16	CO
1-10-16	WY
1-10-16	FL
1-10-16	AZ
1-10-16	CO
1-10-16	IL
1-10-16	NV
1-10-16	PA
1-10-16	FL
1-10-16	CA
1-10-16	NY
1-10-16	NM
1-10-16	GA
1-10-16	WY
1-10-16	WA
1-10-16	LA
1-10-16	FL
1-10-16	MN
9-30-16	FL
9-30-16	NJ
9-30-16	HI
9-30-16	NC
9-30-16	ON
9-30-16	CO
9-30-16	ME
9-30-16	CA
9-30-16	CA
9-30-16	FL
9-30-16	NV
9-30-16	ID
9-29-16	NY
9-29-16	AL
9-29-16	KS
9-29-16	WA
9-29-16	SD
9-29-16	CA
9-29-16	GA
9-29-16	GA
9-29-16	CA
9-29-16	OR
9-29-16	FL
9-29-16	LA
9-28-16	KS
9-28-16	CO
9-28-16	CA
9-28-16	ID
9-28-16	ON
9-28-16	NC
9-28-16	KY
9-28-16	CO
9-28-16	CO
9-28-16	OR
9-28-16	CO
9-28-16	SD
9-28-16	MI
9-27-16	OR
9-27-16	GA
9-27-16	NY
9-27-16	WA
9-27-16	OR
9-27-16	WA
9-27-16	CA
9-27-16	MO
9-27-16	CA
9-27-16	MT
9-27-16	CT
9-27-16	PA
9-27-16	OR
9-27-16	NJ
9-27-16	CO
9-27-16	TX
9-27-16	CA
9-27-16	PA
9-27-16	OH
9-27-16	AR
9-27-16	MS
9-27-16	FL
9-27-16	MO
9-27-16	CA
9-27-16	AK
9-27-16	WA
9-26-16	FL
9-26-16	FL
9-26-16	NY
9-26-16	RI
9-26-16	TX
9-26-16	GA
9-26-16	LA
9-26-16	CA
9-26-16	NC
9-26-16	UT
9-26-16	CA
9-26-16	WI
9-26-16	CA
9-26-16	CA
9-26-16	FL
9-26-16	CA
9-26-16	CA
9-26-16	CO
9-26-16	WA
9-25-16	WA
9-25-16	AZ
9-25-16	CT
9-25-16	CA
9-25-16	VA
9-25-16	CA
9-25-16	AL
9-25-16	CO
9-25-16	OR
9-25-16	WA
9-25-16	CA
9-25-16	CA
9-25-16	CA
9-25-16	NJ
9-25-16	DE
9-25-16	NJ
9-25-16	PA
9-25-16	MD
9-25-16	MO
9-25-16	TX
9-24-16	OH
9-24-16	MI
9-24-16	NY
9-24-16	MI
9-24-16	OH
9-24-16	CA
9-24-16	OH
9-24-16	MA
9-24-16	NY
9-24-16	NJ
9-24-16	CO
9-24-16	ME
9-24-16	PA
9-24-16	PA
9-24-16	OH
9-24-16	SC
9-24-16	OR
9-24-16	NY
9-24-16	WV
9-24-16	CA
9-24-16	PA
9-24-16	CA
9-24-16	VT
